econ_dataset_country,tourism_dataset_country,hdi_dataset_country,world_bank_dataset_country,country_value_map,region_value_map
Afghanistan,AFGHANISTAN,Afghanistan,Afghanistan,Afghanistan,South Asia
Albania,ALBANIA,Albania,Albania,Albania,Europe and Central Asia
Algeria,ALGERIA,Algeria,Algeria,Algeria,Middle East and North Africa
N/A,AMERICAN SAMOA,N/A,American Samoa,American Samoa,East Asia and Pacific
N/A,ANDORRA,Andorra,N/A,Andorra,Europe and Central Asia
Angola,ANGOLA,Angola,N/A,Angola,Sub-Saharan Africa
N/A,ANGUILLA,N/A,Anguilla,Anguilla,Latin America and the Caribbean
Antigua and Barbuda,ANTIGUA AND BARBUDA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Latin America and the Caribbean
Argentina,ARGENTINA,Argentina,Argentina,Argentina,Latin America and the Caribbean
Armenia,ARMENIA,Armenia,Armenia,Armenia,Europe and Central Asia
N/A,ARUBA,N/A,Aruba,Aruba,Latin America and the Caribbean
Australia,AUSTRALIA,Australia,Australia,Australia,East Asia and Pacific
Austria,AUSTRIA,Austria,Austria,Austria,Europe and Central Asia
Azerbaijan,AZERBAIJAN,Azerbaijan,Azerbaijan,Azerbaijan,Europe and Central Asia
Bahamas,BAHAMAS,Bahamas,"Bahamas, The",Bahamas,Latin America and the Caribbean
Bahrain,BAHRAIN,Bahrain,Bahrain,Bahrain,Middle East and North Africa
Bangladesh,BANGLADESH,Bangladesh,Bangladesh,Bangladesh,South Asia
Barbados,BARBADOS,Barbados,Barbados,Barbados,Latin America and the Caribbean
Belarus,BELARUS,Belarus,Belarus,Belarus,Europe and Central Asia
Belgium,BELGIUM,Belgium,Belgium,Belgium,Europe and Central Asia
Belize,BELIZE,Belize,Belize,Belize,Latin America and the Caribbean
Benin,BENIN,Benin,Benin,Benin,Sub-Saharan Africa
N/A,BERMUDA,N/A,Bermuda,Bermuda,North America
Bhutan,BHUTAN,Bhutan,Bhutan,Bhutan,South Asia
Bolivia,"BOLIVIA, PLURINATIONAL STATE OF",Bolivia (Plurinational State of),Bolivia,Bolivia,Latin America and the Caribbean
N/A,BONAIRE,N/A,N/A,Bonaire,Latin America and the Caribbean
Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe and Central Asia
Botswana,BOTSWANA,Botswana,Botswana,Botswana,Sub-Saharan Africa
Brazil,BRAZIL,Brazil,Brazil,Brazil,Latin America and the Caribbean
N/A,BRITISH VIRGIN ISLANDS,British Virgin Islands,British Virgin Islands,British Virgin Islands,Latin America and the Caribbean
